test,test_name,scale,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
abas3_parent,ABAS-3 Parent,Communication,Adaptive Functioning,Conceptual,Communication,,,,rating_scale,scaled_score,"Communication skills (including speech, listening, conversation, and nonverbal communication)"
abas3_parent,ABAS-3 Parent,Conceptual Skills Index,Adaptive Functioning,Conceptual,Conceptual Skills Index,,,,rating_scale,standard_score,"Conceptual skills's involve the ability to use language, reason, and solve problems"
abas3_parent,ABAS-3 Parent,Functional Pre-Academics,Adaptive Functioning,Conceptual,Functional Pre-Academics,,,,rating_scale,scaled_score,"Functional pre-academics (performing basic pre-academic skills that form the foundations of higher-level reading, writing, and mathematics)"
abas3_parent,ABAS-3 Parent,Self-Direction,Adaptive Functioning,Conceptual,Self-Direction,,,,rating_scale,scaled_score,"Self-direction skills (e.g., the ability to make independent choices, exhibit self-control, and take responsibility when appropriate)"
abas3_parent,ABAS-3 Parent,General Adaptive Composite (GAC),Adaptive Functioning,General Adaptive Functioning,General Adaptive Index,,,,rating_scale,standard_score,The patient's current overall level of adaptive behavior
abas3_parent,ABAS-3 Parent,Community Use,Adaptive Functioning,Practical,Community Use,,,,rating_scale,scaled_score,A child's ability to function in the community and to express knowledge of and interest in activities outside the home
abas3_parent,ABAS-3 Parent,Health and Safety,Adaptive Functioning,Practical,Health and Safety,,,,rating_scale,scaled_score,Their ability to address personal and health needs
abas3_parent,ABAS-3 Parent,Home Living,Adaptive Functioning,Practical,Home Living,,,,rating_scale,scaled_score,"Their level of functioning inside the home, including helping adults with household chores and taking care of personal possessions"
abas3_parent,ABAS-3 Parent,Practical Skills Index,Adaptive Functioning,Practical,Practical Skills Index,,,,rating_scale,standard_score,"The patient's score on the Practical skills composite, which involves the ability to take care of oneself, manage money, and get around in the community"
abas3_parent,ABAS-3 Parent,Self-Care,Adaptive Functioning,Practical,Self-Care,,,,rating_scale,scaled_score,"Their ability to perform self-care activities such as eating, dressing, and taking care of personal hygiene"
abas3_parent,ABAS-3 Parent,Motor,Adaptive Functioning,Sensorimotor,Motor,,,,rating_scale,scaled_score,An assessment of their age-appropriate motor skills
abas3_parent,ABAS-3 Parent,Leisure,Adaptive Functioning,Social,Leisure,,,,rating_scale,scaled_score,"Leisure skills: the capacity to use free time during the school day productively or interactively, and the capacity to engage in play and recreational activities for fun"
abas3_parent,ABAS-3 Parent,Social,Adaptive Functioning,Social,Adaptive/Social Behavior,,,,rating_scale,scaled_score,"Social was a strength; may have difficulty interacting socially, initiating and maintaining friendships, and expressing and recognizing emotions"
